Timestamp_WIB,Callsign,Flight_Number,Flight_ID,Airline_Name,Airline_ICAO,Airline_IATA,Aircraft_Model,Aircraft_Type,Registration_Number,Aircraft_Image_URL,Origin_IATA,Origin_ICAO,Origin_Airport_Name,Origin_City,Destination_IATA,Destination_ICAO,Destination_Airport_Name,Destination_City,Latitude,Longitude,Heading_Deg,Squawk_Code,Altitude_Meters,Altitude_Feet,Ground_Speed_KMH,Ground_Speed_Knots,Vertical_Speed_MS,Vertical_Speed_FPM,Flight_Phase,Is_Ground,Status_Text,Scheduled_Departure,Actual_Departure,Estimated_Arrival,Source
2026-09-24 12:19:47,PAS322,IP322,41cec211,Pelita Air,PAS,IP,A320,Airbus A320-214,PK-PWH,N/A,CGK,WIII,Jakarta Soekarno Hatta International Airport,N/A,PKU,WIBB,Pekanbaru Sultan Syarif Kasim II Airport,N/A,-5.4279,106.0234,321,N/A,6294.1,20650,772.3,417,7.8,1536,Climbing (Takeoff),0,Estimated- 13:31,N/A,N/A,N/A,FlightRadar24
2026-09-24 12:19:47,GIA146,GA146,41cec47e,Garuda Indonesia,GIA,GA,B738,Boeing 737-8U3,PK-GNA,N/A,CGK,WIII,Jakarta Soekarno Hatta International Airport,N/A,BTJ,WITT,Banda Aceh International Airport,N/A,-5.6595,106.1457,302,N/A,5311.1,17425,711.2,384,8.78,1728,Climbing (Takeoff),0,Estimated- 14:36,N/A,N/A,N/A,FlightRadar24
2026-09-24 12:19:47,BTK6805,ID6805,41cead09,Batik Air,BTK,ID,A320,Airbus A320-214,PK-LUT,N/A,DJB,WIJJ,Jambi Sultan Thaha Airport,N/A,CGK,WIII,Jakarta Soekarno Hatta International Airport,N/A,-6.1095,106.3257,170,N/A,1813.6,5950,446.3,241,-6.18,-1216,Descending (Landing/Approach),0,Estimated- 12:30,N/A,N/A,N/A,FlightRadar24
2026-09-24 12:19:47,AXM2354,AK2354,41cec39f,AirAsia,AXM,AK,A20N,Airbus A320-251N,9M-AGH,N/A,CGK,WIII,Jakarta Soekarno Hatta International Airport,N/A,KBR,WMKC,Kota Bharu Sultan Ismail Petra Airport,N/A,-5.6235,106.3622,327,N/A,5516.9,18100,726.0,392,11.38,2240,Climbing (Takeoff),0,Estimated- 15:12,N/A,N/A,N/A,FlightRadar24
2026-09-24 12:19:47,CTV180,QG180,41cec7b7,Citilink,CTV,QG,A320,Airbus A320-214,PK-GQF,N/A,HLP,WIHH,Jakarta Halim Perdanakusuma Airport,N/A,PDG,WIEE,Padang Minangkabau International Airport,N/A,-6.0913,106.3771,303,N/A,5692.1,18675,751.9,406,7.15,1408,Climbing (Takeoff),0,Estimated- 13:34,N/A,N/A,N/A,FlightRadar24
2026-09-24 12:19:47,BTK6181,ID6181,41ce29e0,Batik Air,BTK,ID,B738,Boeing 737-8GP,PK-LZZ,N/A,DJJ,WAJJ,Jayapura Sentani Airport,N/A,CGK,WIII,Jakarta Soekarno Hatta International Airport,N/A,-6.2374,106.4007,92,N/A,1234.4,4050,326.0,176,0.0,0,Cruising,0,Estimated- 12:27,N/A,N/A,N/A,FlightRadar24
2026-09-24 12:19:47,GIA185,GA185,41ce6ed0,Garuda Indonesia,GIA,GA,B738,Boeing 737-8SH,PK-GUE,N/A,KNO,WIMM,Medan Kuala Namu International Airport,N/A,CGK,WIII,Jakarta Soekarno Hatta International Airport,N/A,-5.995,106.4317,247,N/A,2545.1,8350,444.5,240,-3.58,-704,Descending (Landing/Approach),0,Estimated- 12:31,N/A,N/A,N/A,FlightRadar24
2026-09-24 12:19:47,RBA735,BI735,41ce843f,Royal Brunei Airlines,RBA,BI,A20N,Airbus A320-251N,V8-RBA,N/A,BWN,WBSB,Brunei International Airport,N/A,CGK,WIII,Jakarta Soekarno Hatta International Airport,N/A,-6.1735,106.4422,112,N/A,632.5,2075,363.0,196,-1.3,-256,Cruising,0,Estimated- 12:25,N/A,N/A,N/A,FlightRadar24
2026-09-24 12:19:47,BTK6229,ID6229,41ceae62,Batik Air,BTK,ID,A320,Airbus A320-214,PK-LAW,N/A,PNK,WIOO,Pontianak Supadio Airport,N/A,CGK,WIII,Jakarta Soekarno Hatta International Airport,N/A,-6.0823,106.4877,248,N/A,1204.0,3950,451.9,244,-2.6,-512,Descending (Landing/Approach),0,Estimated- 12:28,N/A,N/A,N/A,FlightRadar24
2026-09-24 12:19:47,TNU153,8B153,41ceb8a8,TransNusa,TNU,8B,A321,Airbus A321-211,PK-TLM,N/A,CGK,WIII,Jakarta Soekarno Hatta International Airport,N/A,SIN,WSSS,Singapore Changi Airport,N/A,-5.7544,106.4955,327,N/A,3276.6,10750,598.2,323,4.88,960,Climbing (Takeoff),0,Estimated- 14:39,N/A,N/A,N/A,FlightRadar24
