Timestamp_WIB,Flight_IATA,Flight_ICAO,Flight_Number,Airline_IATA,Airline_ICAO,Aircraft_Code,Registration_Number,Transponder_Hex,Airline_Country_Flag,Origin_IATA,Origin_ICAO,Origin_Terminal,Destination_IATA,Destination_ICAO,Destination_Terminal,Latitude,Longitude,Heading_Deg,Altitude_Meters,Altitude_Feet,Ground_Speed_KMH,Ground_Speed_Knots,Vertical_Speed_MS,Vertical_Speed_FPM,Flight_Phase,Is_Ground,Delayed_Minutes,ETA_Timestamp,Updated_Unix_Time,Status
2026-09-24 14:42:17,QG918,CTV918,918,QG,CTV,N/A,PK-GQM,8A05C4,ID,CGK,WIII,N/A,KNO,WIMM,N/A,-0.304066,101.599987,316.5,11731,38487.5,843,455.2,0,0.0,Cruising,0,0,N/A,1790235735,en-route
2026-09-24 14:42:17,IP323,PAS323,323,IP,PAS,N/A,PK-PWH,8A09BB,ID,PKU,WIBB,N/A,CGK,WIII,N/A,-0.046329,102.041078,123.5,6253,20515.1,702,379.0,58,11417.3,Climbing (Takeoff),0,0,N/A,1790235735,en-route
2026-09-24 15:05:28,IU363,SJV363,363,IU,SJV,N/A,PK-SJS,8A08C0,ID,KNO,WIMM,N/A,SUB,WARR,N/A,1.344509,101.264739,137.6,12029,39465.2,840,453.6,0,0.0,Cruising,0,0,N/A,1790237125,en-route
2026-09-24 15:05:28,QG919,CTV919,919,QG,CTV,N/A,PK-GQT,8A061E,ID,KNO,WIMM,N/A,CGK,WIII,N/A,0.618527,101.845453,136.0,10688,35065.6,838,452.5,-7,-1378.0,Descending (Landing/Approach),0,0,N/A,1790237098,en-route
2026-09-24 15:05:28,GA975,GIA975,975,GA,GIA,N/A,PK-GHI,8A0A6B,ID,JED,OEJN,N/A,SUB,WARR,N/A,0.18062,100.643669,130.0,11907,39065.0,0,0.0,0,0.0,Cruising,0,0,N/A,1790237080,en-route
2026-09-24 16:06:03,ID6854,BTK6854,6854,ID,BTK,N/A,PK-BKL,8A093A,ID,CGK,WIII,N/A,PKU,WIBB,N/A,0.486328,101.44519,183,185,607.0,259,139.8,0,0,Cruising,0,0,N/A,1790240738,en-route
2026-09-24 16:06:03,GA189,GIA189,189,GA,GIA,N/A,PK-GFS,8A0290,ID,KNO,WIMM,N/A,CGK,WIII,N/A,0.389207,102.004562,139,11297,37063.6,827,446.5,0,0,Cruising,0,0,N/A,1790240738,en-route
2026-09-24 17:05:30,ID6886,BTK6886,6886,ID,BTK,N/A,PK-LUH,8A05EF,ID,CGK,WIII,N/A,KNO,WIMM,N/A,-0.289914,101.558126,317,11747,38540.0,850,459.0,0,0.0,Cruising,0,0,N/A,1790244329,en-route
2026-09-24 17:05:30,GA176,GIA176,176,GA,GIA,N/A,PK-GMC,8A01DD,ID,CGK,WIII,N/A,PKU,WIBB,N/A,0.469528,101.44472,183,94,308.4,285,153.9,-15,-2952.8,Descending (Landing/Approach),0,0,N/A,1790244309,en-route
2026-09-24 18:05:29,QG979,CTV979,979,QG,CTV,N/A,PK-GQA,8A04A5,ID,KNO,WIMM,N/A,CGK,WIII,N/A,1.285433,101.174412,135.6,12067,39589.9,835,450.9,0,0.0,Cruising,0,0,N/A,1790247917,en-route
2026-09-24 18:05:29,GA190,GIA190,190,GA,GIA,N/A,PK-GDC,8A0A73,ID,CGK,WIII,N/A,KNO,WIMM,N/A,-0.29578,101.437229,318.9,11731,38487.5,848,457.9,0,0.0,Cruising,0,0,N/A,1790247917,en-route
2026-09-24 18:05:29,JT161,LNI161,161,JT,LNI,N/A,PK-LGL,8A01CD,ID,KUL,WMKK,N/A,PKU,WIBB,N/A,0.677428,101.45419,184.0,924,3031.5,342,184.7,-29,-5708.6,Descending (Landing/Approach),0,0,N/A,1790247914,en-route
2026-09-24 19:05:29,MH127,MAS127,127,MH,MAS,N/A,9M-MTA,750254,MY,KUL,WMKK,N/A,PER,YPPH,N/A,1.42825,101.510133,184.9,7693,25239.5,763,412.0,23,4527.6,Climbing (Takeoff),0,0,N/A,1790251522,en-route
2026-09-24 19:05:29,AK349,AXM349,349,AK,AXM,N/A,9M-AJD,75033D,MY,YIA,WAHI,N/A,KUL,WMKK,N/A,-0.411924,102.389684,343.3,12387,40639.8,810,437.4,0,0.0,Cruising,0,0,N/A,1790251522,en-route
2026-09-24 20:05:26,ID6887,BTK6887,6887,ID,BTK,N/A,PK-LUH,8A05EF,ID,KNO,WIMM,N/A,CGK,WIII,N/A,1.045178,101.382558,138.6,11434,37513.1,835,450.9,0,0,Cruising,0,0,N/A,1790255120,en-route
2026-09-24 20:05:26,QR954,QTR954,954,QR,QTR,N/A,A7-ALV,06A10A,QA,DOH,OTHH,N/A,CGK,WIII,N/A,1.153157,100.959253,136.0,12516,41063.0,903,487.6,0,0,Cruising,0,0,N/A,1790255091,en-route
2026-09-24 20:05:26,QG887,CTV887,887,QG,CTV,N/A,PK-GQJ,8A0508,ID,KNO,WIMM,N/A,CGK,WIII,N/A,0.153612,102.342128,136.5,12097,39688.3,845,456.3,0,0,Cruising,0,0,N/A,1790255120,en-route
